,function,vaex,spark,dask,turicreate,datatable
0,read_file,0.011682844161987305,0.07748112678527833,0.6692945003509522,0.0006588935852050781,0.00573582649230957
1,count,8.296966552734373e-06,0.3561862468719482,44.51257090568542,6.866455078125e-06,2.050399780273437e-06
2,mean,4.216100835800171,2.4659940719604494,13.036803770065308,8.204635620117188,5.602885770797728
3,standard deviation,3.23588490486145,3.746568632125855,13.482717323303225,8.599971103668214,8.3489914894104
4,sum columns mean,4.451313495635986,3.65928635597229,16.384804248809814,168.58534884452817,16.94226942062378
5,sum columns,2.3984909057617183e-05,,,0.0004856586456298828,2.9325485229492188e-05
6,product columns mean,1.3227121829986572,3.769037342071533,16.74313187599182,228.14237141609192,2.9993057250976562e-05
7,product columns,2.436637878417969e-05,,,0.0005006790161132811,
8,arithmetic operation mean,43.629807949066155,96.96435236930849,67.34197306632997,,
9,arithmetic operation,0.005110740661621094,,,,
10,value counts,29.157903480529786,11.73745174407959,13.377483892440797,,
11,groupby statistics,97.40899181365968,32.129430770874016,734.6850459575653,,118.82598209381105
12,join,32.684166669845574,,,,30.71583867073059
13,join count,28.142618656158447,320.09564161300665,711.4409556388855,,18.930267572402954
14,filter data,1.173076057434082,0.12175817489624025,0.00025343894958496094,,
15,filterd mean,18.955153512954713,17.987318897247313,835.4481337070465,,
16,filtered standard deviation,3.650856637954712,17.573638582229613,830.9329132556917,,
17,filtered sum columns mean,5.142976951599121,21.039139175415038,,,
18,filtered sum columns,3.108978271484375e-05,,,,
19,filterd product columns mean,2.206786012649536,20.938899803161625,,,
20,filterd product columns,3.1328201293945314e-05,,,,
21,filterd arithmetic operation mean,64.59092092514038,90.92029762268066,,,
22,filterd arithmetic operation,0.0077016353607177734,,,,
23,filtered value counts,51.571933031082146,27.508391046524054,,,
24,filtered groupby statistics,97.41665267944336,46.27308225631714,,,
25,filterd count,,0.08333163261413573,,,
26,skeatch mean,,,,52.72481956481935,
27,skeatch standatd deviation,,,,50.30595235824585,
28,skeatch frequent items,,,,35.26147451400757,
